Year,Species,Lower,Middle,Upper,Main,Error low,Error Middle,Error Upper,Error Main,,,Year,,,
2000,AS,3.429341322,38.13118812,44.56600475,120.6878145,0.182671135,0.384562941,0.742108259,1.33973261,,,2000,AS,Lower,3.429341322
2001,AS,23.82725242,79.35333977,115.5115606,382.0390422,0.42169228,0.46460719,3.7581939,13.2285958,,,2000,AS,Middle,38.13118812
2002,AS,66.62931414,73.27930242,66.45009821,29.07565117,2.8671191,0.537887305,0.854867809,2.001770083,,,2000,AS,Upper,44.56600475
2015,AS,103.376148,99.21163048,196.7539877,51.15985887,2.2614679,3.21280722,2.6392828,0.83250468,,,2000,AS,Main,120.6878145
2000,ASYOY,0.411520959,0.690157251,0,2.592649077,0.021920536,0.006960415,0,0.028780507,,,2001,AS,Lower,23.82725242
2001,ASYOY,3.812360387,2.160254259,0,2.231536461,0.067470765,0.012648108,0,0.077269835,,,2001,AS,Middle,
2002,ASYOY,1.14645581,0.151091345,0,0.187989124,0.049333021,0.001109046,0,0.012942479,,,2001,AS,Upper,
2015,ASYOY,4.59798445,8.441444128,9.645454835,0.489648814,0.100586013,0.273362436,0.129385348,0.007967867,,,2001,AS,Main,
2000,BT,57.75010787,110.2526209,236.6049707,0,3.076181919,1.111926331,3.93992021,0,,,2002,AS,Lower,
2001,BT,57.30454207,95.05118738,243.5892323,91.49299492,1.01416993,0.55651678,7.9252291,3.16806324,,,2002,AS,Middle,
2002,BT,144.8580635,165.1428403,403.3520961,22.55869487,6.233372295,1.212187267,5.189047603,1.553097478,,,2002,AS,Upper,
2015,BT,18.89659463,0,26.81930109,0.084422209,0.41338398,0,0.35975749,0.00137377,,,2002,AS,Main,
2000,BTYOY,9.464982049,30.36691904,20.66242038,7.000152509,0.504172333,0.30625827,0.344068375,0.077707369,,,2015,AS,Lower,
2001,BTYOY,5.480268057,18.72220357,5.074775673,9.372453138,0.096989224,0.10961695,0.165108939,0.324533307,,,2015,AS,Middle,
2002,BTYOY,14.55594247,30.51591899,7.754726461,5.010536783,0.62635525,0.223994019,0.099763073,0.344960207,,,2015,AS,Upper,
2015,BTYOY,0.056072981,0,0,0,0.001226659,0,0,0,,,2015,AS,Main,
2000,EEL,46.77621564,99.38264415,16.20581991,20.35229526,2.491634286,1.002299791,0.269857549,0.225926982,,,,,,
2001,EEL,0.714817573,0.576067802,63.5555239,62.48302092,0.012650768,0.003372829,2.06779291,2.16355538,,,,,,
2002,EEL,1.348771541,0,53.60307922,36.34456396,0.058038848,0,0.689593366,2.502212604,,,,,,
2015,Eel,109.3423131,53.83358359,174.4441266,31.06737304,2.3919845,1.74331303,2.3400155,0.5055474,,,,,,
